Banglish,Bangla
ami je baba ami amar konnar mukher dike takiye onek kichu bujhte pari,আমি যে বাবা আমি আমার কন্যার মুখের দিকে তাকিয়ে অনেক কিছু বুঝতে পারি
ei rokom manushera kokhono thik hoy na,এই রকম মানুষেরা কখনো ঠিক হয় না
tader duijoner biye howar kotha chilo,তাদের দুজনের বিয়ে হওয়ার কথা ছিল
kintu chele hothat kore torunike na janiye desher baire chole jay,কিন্তু ছেলে হঠাৎ করে তরুণীকে না জানিয়ে দেশের বাইরে চলে যায়
er majhe meyeti tar poribarer pochonde biye kore,এর মাঝে মেয়েটি তার পরিবারের পছন্দে বিয়ে করে
se meyetir sathe jogajog kore,সে মেয়েটির সাথে যোগাযোগ করে
meyeti kauke biye korte raji hoy na,মেয়েটি কাউকে বিয়ে করতে রাজি হয় না
oi chele kono kichui shunte chay na tar sathe dekha korte cay,ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়
meye mamla chay na karon se bibahito mamlar bishoyta janajani hole songsar tikbe na,মেয়ে মামলা চায় না কারণ সে বিবাহিত মামলার বিষয়টা জানাজানি হলে সংসার টিকবে না
amar shami bivinno meyer sathe sara rat jege kotha bole,আমার স্বামী বিভিন্ন মেয়ের সাথে সারা রাত জেগে কথা বলে
ekhon kotha holo ami kabiner taka diye dibo proti mashe mashe,এখন কথা হলো আমি কাবিনের টাকা দিয়ে দিবো প্রতি মাসে মাসে
ami sat mash prem kore ekjonke biye korechi,আমি সাত মাস প্রেম করে একজনকে বিয়ে করেছি
ekhon biyer por jante pari amar shami age duiti biye korechilo,এখন বিয়ের পর জানতে পারি আমার স্বামী আগে দুইটি বিয়ে করেছিল
ami manoshik vabe khub somossar moddhe achi,আমি মনসিক ভাবে খুব সমস্যার মধ্যে আছি
amar ektai kotha chele manusher kache kiser proyojon thakte pare,আমার একটাই কথা ছেলে মানুষের কাছে কিসের প্রয়োজন থাকতে পারে
class er sob meyeder sathei mishtam,ক্লাসের সব মেয়েদের সাথেই মিশতাম
ami dhore nilam amar onek dosh onek vul,আমি ধরে নিলাম আমার অনেক দোষ অনেক ভুল
kintu amader tin bochorer bacca tar kothay dosh?,কিন্তু আমাদের তিন বছরের বাচ্চা তার কোথায় দোষ?
amra boli ektu somoy neoyar jonno ar unar stri ke niye ashar jonno,আমরা বলি একটু সময় নেওয়ার জন্য আর উনার স্ত্রীকে নিয়ে আসার জন্য
tomake jedin bolechilam biyeta kore felo,তোমাকে যেদিন বলেছিলাম বিয়েটা করে ফেলো
shedin kothata bolechilam shudhu tomar valor jonno,সেদিন কথাটা বলেছিলাম শুধু তোমার ভালোর জন্য
kintu tumi ekhon etoi valo acho je ami sheta mante parchi na,কিন্তু তুমি এখন এতোই ভালো আছো যে আমি সেটা মানতে পারছি না
tumi ar amar nei ami eta mante parchi na,তুমি আর আমার নেই আমি এটা মানতে পারছি না
pochondo korei poribarer maddome biye kore eneche,পছন্দ করেই পরিবারের মাধ্যমে বিয়ে করে এনেছে
amar valobashar manusher sathe amar biye hoyeche,আমার ভালোবাসার মানুষের সাথে আমার বিয়ে হয়েছে
take chara ami hoyto bachte parbo na,তাকে ছাড়া আমি হয়তো বাচঁতে পারবো না
ekhon ar manusher moddhe maya bishoyta khub ekta nei,এখন আর মানুষের মধ্যে মায়া বিষয়টা খুব একটা নেই
ami amar choto baccake niye babar barite jai,আমি আমার ছোট বাচ্চাকে নিয়ে বাবার বাড়িতে যাই
apni nijer poribar niye boshun,আপনি নিজের পরিবার নিয়ে বসুন
poribare choto khato jhamela thake,পরিবারে ছোট খাটো ঝামেলা থাকে
amake ektu sahajjo korben,আমাকে একটু সাহায্য করবেন
doya kore nam porichoy gopon rakhben,দয়া করে নাম পরিচয় গোপন রাখবেন
ami ekti kothin somossa niye hajir hoyechi,আমি একটি কঠিন সমস্যা নিয়ে হাজির হয়েছি
eksomoy cheler meyetake valo lagbe,একসময় ছেলের মেয়েটাকে ভালো লাগবে
tader char bochorer ekti meye bacca ache,তাদের চার বছরের একটি মেয়ে বাচ্চা আছে
goto ek mash age strir sathe jhogra kore shami deshe chole ase,গত এক মাস আগে স্ত্রীর সাথে ঝগড়া করে স্বামী দেশে চলে আসে
chele meye ekjon arekjon ke procondo valobase,ছেলে মেয়ে একজন আরেকজন কে প্রচন্ড ভালোবাসে
se biye kore sukhi hote chay,সে বিয়ে করে সুখী হতে চায়
chele europe porashona kore,ছেলে ইউরোপে পড়াশোনা করে
kintu meyer poribar rajina,কিন্তু মেয়ের পরিবার রাজিনা
meyeke onno cheler sathe biye deoyar ayojon kore,মেয়েকে অন্য ছেলের সাথে বিয়ে দেওয়ার আয়োজন করে
baddho hoye chele meye nijeder icchay biye kore ney,বাধ্য হয়ে ছেলে মেয়ে নিজেদের ইচ্ছায় বিয়ে করে নেয়
ajke deyale pith theke geche,আজকে দেয়ালে পিঠ থেকে গেছে
ajke pray ৮ din pani nei,আজকে প্রায় ৮ দিন পানি নেই
othocho ase pasher shob bari tei pani diye dicche shudhu amader baritei pani dicche na,অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না
jader sathe valo somporko royeche shudhu tader pani dibe ar kauke dibe na,যাদের সাথে ভালো সম্পর্ক রয়েছে শুধু তাদের পানি দিবে আর কাউকে দিবে না
janina pani pabo naki pabo na,জানিনা পানি পাবো নাকি পাবো না
